change_type,original_text,revised_text,issue_tags,reviewer_summary,label,assessment_label_id,issue_multihot,model_input
modified,This procedure applies to all curricular offerings for undergraduate and graduate programs in the University.,This procedure applies to all academic activities of the University.,unclear_scope|insufficient_detail,"The revision is overly broad and no longer identifies curricular offerings, undergraduate and graduate programs, or the specific development and review process covered.",Needs Revision,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
This procedure applies to all curricular offerings for undergraduate and graduate programs in the University.

[REVISED TEXT]
This procedure applies to all academic activities of the University."
modified,"A reporting person issues two copies of the Disciplinary Action Slip to the student and submits a Disciplinary Referral Slip to the VPSD. The student may complete the applicable Permit to Enter the Campus or Admission Slip. The student meets the Guidance Counselor with the Disciplinary Action Slip and promissory letter. The Guidance Counselor signs the Student Violation Clearance Form. OSD Staff enters the case in the Student Violation Logbook. The student reports to the VPSD, who evaluates the case and signs the clearance form.","1. The reporting security guard, faculty member, personnel, or student shall issue the required Disciplinary Action Slip and submit the Disciplinary Referral Slip to the Office of the VPSD. 2. The student shall complete the applicable Permit to Enter the Campus or Admission Slip when required. 3. The student shall report to the Guidance Counselor with the Disciplinary Action Slip and required promissory letter. 4. The Guidance Counselor shall provide the required reminder and sign the Student Violation Clearance Form. 5. OSD Staff shall record the case in the Student Violation Logbook. 6. The student shall report to the VPSD, who shall evaluate the documented case and sign the clearance form.",,"The revision retains the reporting, referral, applicable student forms, guidance step, logbook entry, VPSD evaluation, and clearance documentation sequence.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
A reporting person issues two copies of the Disciplinary Action Slip to the student and submits a Disciplinary Referral Slip to the VPSD. The student may complete the applicable Permit to Enter the Campus or Admission Slip. The student meets the Guidance Counselor with the Disciplinary Action Slip and promissory letter. The Guidance Counselor signs the Student Violation Clearance Form. OSD Staff enters the case in the Student Violation Logbook. The student reports to the VPSD, who evaluates the case and signs the clearance form.

[REVISED TEXT]
1. The reporting security guard, faculty member, personnel, or student shall issue the required Disciplinary Action Slip and submit the Disciplinary Referral Slip to the Office of the VPSD. 2. The student shall complete the applicable Permit to Enter the Campus or Admission Slip when required. 3. The student shall report to the Guidance Counselor with the Disciplinary Action Slip and required promissory letter. 4. The Guidance Counselor shall provide the required reminder and sign the Student Violation Clearance Form. 5. OSD Staff shall record the case in the Student Violation Logbook. 6. The student shall report to the VPSD, who shall evaluate the documented case and sign the clearance form."
modified,Income Generating Office: 1. Prepares and issues a billing statement for each Stall Holder. Stall Holder: 2. Pays the monthly billing at the Cash Management Office. Cashier Staff: 3. Receives cash for monthly dues. 4. Issues an Official Receipt. Stall Holder: 5. Presents the Official Receipt to IGO Staff. IGO Staff: 6. Records the payment in the ledger. 7. Prepares and issues a Monthly Report on Rentals.,1. The Income Generating Office shall prepare and issue a billing statement for each Stall Holder. 2. The Stall Holder shall pay the billed amount through the Cash Management Office. 3. Cashier Staff shall receive payment and issue an Official Receipt. 4. The Stall Holder shall present the Official Receipt to the IGO Staff. 5. The IGO Staff shall verify the receipt and record the payment in the rental ledger. 6. The IGO Staff shall prepare the Monthly Report on Rentals from the verified ledger entries.,,The revision preserves the actor-to-activity sequence and clarifies receipt verification before ledger entry and monthly reporting.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
Income Generating Office: 1. Prepares and issues a billing statement for each Stall Holder. Stall Holder: 2. Pays the monthly billing at the Cash Management Office. Cashier Staff: 3. Receives cash for monthly dues. 4. Issues an Official Receipt. Stall Holder: 5. Presents the Official Receipt to IGO Staff. IGO Staff: 6. Records the payment in the ledger. 7. Prepares and issues a Monthly Report on Rentals.

[REVISED TEXT]
1. The Income Generating Office shall prepare and issue a billing statement for each Stall Holder. 2. The Stall Holder shall pay the billed amount through the Cash Management Office. 3. Cashier Staff shall receive payment and issue an Official Receipt. 4. The Stall Holder shall present the Official Receipt to the IGO Staff. 5. The IGO Staff shall verify the receipt and record the payment in the rental ledger. 6. The IGO Staff shall prepare the Monthly Report on Rentals from the verified ledger entries."
removed,External providers shall be evaluated based on their ability to meet company requirements. Evaluation of accredited external providers shall be done at least once a year.,External providers may be reviewed from time to time.,ambiguous_language|missing_traceability|insufficient_detail,"The revision removes the annual evaluation frequency, the requirement to assess the provider's ability to meet requirements, and a clear basis for documenting evaluation results.",Needs Revision,1,"[1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
removed

[ORIGINAL TEXT]
External providers shall be evaluated based on their ability to meet company requirements. Evaluation of accredited external providers shall be done at least once a year.

[REVISED TEXT]
External providers may be reviewed from time to time."
modified,3.1 All items purchased for the Income Generating Office operations shall be inspected before use or sale. 3.2 A Special Order shall be issued to workers before assumption to duty. 3.3 Student laborers shall observe proper limitations as to their assigned tasks. 3.4 All income shall be deposited to the depository bank on the following day.,"3.1 Purchased items intended for Income Generating Office operations shall be inspected and accepted before they are used, released, or sold. 3.2 Workers shall be issued the required Special Order before reporting for duty. 3.3 Student laborers shall perform only tasks within their authorized assignments and applicable limitations. 3.4 The Income Generating Office shall ensure that income collections are recorded and deposited to the authorized depository bank on the next banking day, subject to applicable cash-handling procedures.",,"The revision retains the inspection, work-authorization, student-labor, and income-deposit requirements while clarifying the responsible unit and control activities.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
3.1 All items purchased for the Income Generating Office operations shall be inspected before use or sale. 3.2 A Special Order shall be issued to workers before assumption to duty. 3.3 Student laborers shall observe proper limitations as to their assigned tasks. 3.4 All income shall be deposited to the depository bank on the following day.

[REVISED TEXT]
3.1 Purchased items intended for Income Generating Office operations shall be inspected and accepted before they are used, released, or sold. 3.2 Workers shall be issued the required Special Order before reporting for duty. 3.3 Student laborers shall perform only tasks within their authorized assignments and applicable limitations. 3.4 The Income Generating Office shall ensure that income collections are recorded and deposited to the authorized depository bank on the next banking day, subject to applicable cash-handling procedures."
modified,Employees submit Promissory Notes to the Accounting Office. Accounting Staff-7 prepares a Summary of Promissory Notes that identifies the employee accountabilities and the particular employee claim from which each amount will be charged or deducted. Accounting Staff-7 furnishes the Payroll Preparer with the Summary. Accounting Staff-2 effects the deduction in the payroll.,"1. Employees shall submit Promissory Notes to the Accounting Office. 2. Accounting Staff-7 shall prepare a Summary of received Promissory Notes, identify the related employee accountability, and state the authorized employee claim from which the amount will be deducted. 3. Accounting Staff-7 shall provide the Summary to the Payroll Preparer. 4. Accounting Staff-2 shall implement the payroll deduction based on the approved Summary.",,"The revision retains the Promissory Note, summary, identified deduction source, Payroll Preparer handoff, and payroll-deduction responsibilities.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
Employees submit Promissory Notes to the Accounting Office. Accounting Staff-7 prepares a Summary of Promissory Notes that identifies the employee accountabilities and the particular employee claim from which each amount will be charged or deducted. Accounting Staff-7 furnishes the Payroll Preparer with the Summary. Accounting Staff-2 effects the deduction in the payroll.

[REVISED TEXT]
1. Employees shall submit Promissory Notes to the Accounting Office. 2. Accounting Staff-7 shall prepare a Summary of received Promissory Notes, identify the related employee accountability, and state the authorized employee claim from which the amount will be deducted. 3. Accounting Staff-7 shall provide the Summary to the Payroll Preparer. 4. Accounting Staff-2 shall implement the payroll deduction based on the approved Summary."
modified,"This procedure defines the actions and responsibilities of the Human Resource Management Office in recruitment, selection, placement and promotion of personnel. It covers receiving applications, conducting the selection process and interviews, records or background investigation, and deployment of the successful applicant.","This procedure defines the Human Resource Management Office responsibilities for recruitment, selection, placement, promotion, and deployment of personnel. It covers job vacancy publication, receipt and evaluation of applications, qualification and background review, interviews and deliberation, appointment approval, release of appointment papers, and orientation of successful applicants.",,The revision retains the HRMO responsibility and expands the scope description to clearly reflect the major activities contained in the procedure.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
This procedure defines the actions and responsibilities of the Human Resource Management Office in recruitment, selection, placement and promotion of personnel. It covers receiving applications, conducting the selection process and interviews, records or background investigation, and deployment of the successful applicant.

[REVISED TEXT]
This procedure defines the Human Resource Management Office responsibilities for recruitment, selection, placement, promotion, and deployment of personnel. It covers job vacancy publication, receipt and evaluation of applications, qualification and background review, interviews and deliberation, appointment approval, release of appointment papers, and orientation of successful applicants."
reordered,3.5 The University President or designated officer shall approve all activities undertaken by the Income Generating Office operation. 3.6 Income Generating Project Proposals shall be reviewed by the Board of Management and approved by the University President and the Board of Regents before the start of any Income Generating Project. 3.7 The Board of Management shall periodically update the University President on Income Generating Office activities.,3.5 Income Generating Project Proposals shall be reviewed by the Board of Management and approved by the University President and the Board of Regents before implementation. 3.6 The University President or designated officer shall approve applicable activities undertaken by the Income Generating Office. 3.7 The Board of Management shall periodically provide documented updates to the University President on Income Generating Office activities.,,"The revision reorganizes the related approval requirements while retaining the Board review, required approvals before implementation, and management-update responsibility.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
reordered

[ORIGINAL TEXT]
3.5 The University President or designated officer shall approve all activities undertaken by the Income Generating Office operation. 3.6 Income Generating Project Proposals shall be reviewed by the Board of Management and approved by the University President and the Board of Regents before the start of any Income Generating Project. 3.7 The Board of Management shall periodically update the University President on Income Generating Office activities.

[REVISED TEXT]
3.5 Income Generating Project Proposals shall be reviewed by the Board of Management and approved by the University President and the Board of Regents before implementation. 3.6 The University President or designated officer shall approve applicable activities undertaken by the Income Generating Office. 3.7 The Board of Management shall periodically provide documented updates to the University President on Income Generating Office activities."
modified,"The Program on Awards and Incentives for Service Excellence shall provide incentives and awards based on performance, innovative ideas, and exemplary behavior.",PRAISE awards shall be based on popularity among employees.,possible_contradiction|missing_traceability|insufficient_detail,"The revision replaces the stated performance, innovative-idea, and exemplary-behavior criteria with an unsupported and undefined popularity basis.",Needs Revision,1,"[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The Program on Awards and Incentives for Service Excellence shall provide incentives and awards based on performance, innovative ideas, and exemplary behavior.

[REVISED TEXT]
PRAISE awards shall be based on popularity among employees."
modified,"The Budget Officer receives the General Appropriation Act and allotment release documents from the Department of Budget and Management. The Budget Officer records the appropriations and allotments in the appropriate columns of the Registry of Appropriations and Allotments and the Registry of Allotments, Obligations and Disbursements. The allotment amount should not exceed the authorized appropriations in the General Appropriation Act; appropriate action should be taken if it exceeds the appropriation.","1. The Budget Officer shall receive the General Appropriation Act and allotment release documents from the Department of Budget and Management. 2. The Budget Officer shall record authorized appropriations and released allotments in the appropriate columns of the Registry of Appropriations and Allotments and the Registry of Allotments, Obligations and Disbursements. 3. Before recording an allotment, the Budget Officer shall verify that the allotment does not exceed the authorized appropriation in the General Appropriation Act. 4. If an excess is identified, the Budget Officer shall document the discrepancy and refer it for the appropriate action before further processing.",,The revision preserves the Budget Officer's responsibilities and adds a clear verification and documented escalation step for allotments that exceed authorized appropriations.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The Budget Officer receives the General Appropriation Act and allotment release documents from the Department of Budget and Management. The Budget Officer records the appropriations and allotments in the appropriate columns of the Registry of Appropriations and Allotments and the Registry of Allotments, Obligations and Disbursements. The allotment amount should not exceed the authorized appropriations in the General Appropriation Act; appropriate action should be taken if it exceeds the appropriation.

[REVISED TEXT]
1. The Budget Officer shall receive the General Appropriation Act and allotment release documents from the Department of Budget and Management. 2. The Budget Officer shall record authorized appropriations and released allotments in the appropriate columns of the Registry of Appropriations and Allotments and the Registry of Allotments, Obligations and Disbursements. 3. Before recording an allotment, the Budget Officer shall verify that the allotment does not exceed the authorized appropriation in the General Appropriation Act. 4. If an excess is identified, the Budget Officer shall document the discrepancy and refer it for the appropriate action before further processing."
modified,1.1 To provide guidelines and procedures in the revision and development of curricular programs in the University. 1.2 To ensure quality and relevant curricular offerings compliant to CHED memoranda.,"1.1 To provide clear guidelines and procedures for the development, review, revision, and validation of University curricular programs. 1.2 To ensure that curricular offerings are relevant, quality-assured, and aligned with applicable CHED memoranda and standards.",,"The revision preserves the original objectives while clarifying development, review, validation, quality assurance, relevance, and CHED alignment.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
1.1 To provide guidelines and procedures in the revision and development of curricular programs in the University. 1.2 To ensure quality and relevant curricular offerings compliant to CHED memoranda.

[REVISED TEXT]
1.1 To provide clear guidelines and procedures for the development, review, revision, and validation of University curricular programs. 1.2 To ensure that curricular offerings are relevant, quality-assured, and aligned with applicable CHED memoranda and standards."
modified,The SPMS Calendar requires yearly targets in the first week of the year; IPCR and DPCR submissions for January to June and July to December; DPCR calibration in the second week of the following year; and quarterly monitoring of accomplishment.,SPMS forms may be submitted whenever employees are ready.,ambiguous_language|missing_traceability|insufficient_detail,"The revision removes the established submission periods, annual target deadline, DPCR calibration timeframe, and quarterly monitoring schedule.",Needs Revision,1,"[1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The SPMS Calendar requires yearly targets in the first week of the year; IPCR and DPCR submissions for January to June and July to December; DPCR calibration in the second week of the following year; and quarterly monitoring of accomplishment.

[REVISED TEXT]
SPMS forms may be submitted whenever employees are ready."
removed,"No employee shall assume position duties without receiving a copy of the appointment from the HRMO after it is signed by the University President. New recruits shall receive orientation on University policies, procedures, rules, and laws. New members shall be provided appropriate tools and training for effective and efficient service.",New employees may report for duty immediately and receive documents later.,possible_contradiction|missing_approval_step|missing_record_or_evidence|insufficient_detail,"The revision removes the signed appointment and HRMO-issued appointment copy requirement before duty assumption, as well as orientation, tools, and training requirements.",Needs Revision,1,"[0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[CHANGE TYPE]
removed

[ORIGINAL TEXT]
No employee shall assume position duties without receiving a copy of the appointment from the HRMO after it is signed by the University President. New recruits shall receive orientation on University policies, procedures, rules, and laws. New members shall be provided appropriate tools and training for effective and efficient service.

[REVISED TEXT]
New employees may report for duty immediately and receive documents later."
modified,"The College Dean prepares development plans for employees with Unsatisfactory and Poor ratings. PMT identifies potential PRAISE award nominees. The PRAISE Committee determines top performers for awards and incentives. Heads and employees discuss competency-assessment results, strengths, gaps, career paths, and alternatives. The Planning Officer or Director HRM consolidates and coordinates development interventions.","Employees with low ratings should improve, and awards may be given to good employees.",ambiguous_language|missing_responsibility|missing_traceability|insufficient_detail,"The revision removes the College Dean's development-plan responsibility, PMT nomination, PRAISE Committee determination, competency discussion, coordinated interventions, progress monitoring, and criteria for awards.",Needs Revision,1,"[1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The College Dean prepares development plans for employees with Unsatisfactory and Poor ratings. PMT identifies potential PRAISE award nominees. The PRAISE Committee determines top performers for awards and incentives. Heads and employees discuss competency-assessment results, strengths, gaps, career paths, and alternatives. The Planning Officer or Director HRM consolidates and coordinates development interventions.

[REVISED TEXT]
Employees with low ratings should improve, and awards may be given to good employees."
reordered,"Faculty or Personnel prepares a Project Proposal. The IGO Director receives the proposal and submits it to the Board of Management for deliberation. The Board of Management deliberates the proposal according to financial status and income-generating capability, then submits a finalized proposal to the University President for approval and recommendation. The University President approves the proposal and submits it to the LNU Board of Regents for approval. The LNU Board of Regents approves or disapproves the proposal.",1. Faculty or Personnel shall prepare a Project Proposal. 2. The LNU Board of Regents shall approve or disapprove the proposal. 3. The IGO Director shall submit the proposal to the Board of Management for deliberation. 4. The University President shall approve the proposal. 5. The Board of Management shall evaluate the proposal.,illogical_sequence|missing_responsibility|missing_approval_step|insufficient_detail,"The revision places the Board of Regents decision before the Board of Management evaluation and University President approval, removes the required handoffs, and creates an illogical approval sequence.",Needs Revision,1,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[CHANGE TYPE]
reordered

[ORIGINAL TEXT]
Faculty or Personnel prepares a Project Proposal. The IGO Director receives the proposal and submits it to the Board of Management for deliberation. The Board of Management deliberates the proposal according to financial status and income-generating capability, then submits a finalized proposal to the University President for approval and recommendation. The University President approves the proposal and submits it to the LNU Board of Regents for approval. The LNU Board of Regents approves or disapproves the proposal.

[REVISED TEXT]
1. Faculty or Personnel shall prepare a Project Proposal. 2. The LNU Board of Regents shall approve or disapprove the proposal. 3. The IGO Director shall submit the proposal to the Board of Management for deliberation. 4. The University President shall approve the proposal. 5. The Board of Management shall evaluate the proposal."
reordered,"For Regular External Providers, evaluation summaries are: 75-100 retain supplier; 50-74 retain supplier and point out weakness; 15-49 discretion of ED or CD; and 0-14 suspend business. For New External Providers, evaluation summaries are: 30-50 can start business; 20-29 can start business and ask to improve; 10-19 discretion of ED or CD; and 0-9 no business.",For Regular External Providers: 0-14 suspend business; 15-49 for ED or CD discretion; 50-74 retain supplier and point out weakness; and 75-100 retain supplier. For New External Providers: 0-9 no business; 10-19 for ED or CD discretion; 20-29 can start business and ask to improve; and 30-50 can start business.,,The revision orders the score ranges from lowest to highest but retains all score thresholds and associated evaluation decisions.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
reordered

[ORIGINAL TEXT]
For Regular External Providers, evaluation summaries are: 75-100 retain supplier; 50-74 retain supplier and point out weakness; 15-49 discretion of ED or CD; and 0-14 suspend business. For New External Providers, evaluation summaries are: 30-50 can start business; 20-29 can start business and ask to improve; 10-19 discretion of ED or CD; and 0-9 no business.

[REVISED TEXT]
For Regular External Providers: 0-14 suspend business; 15-49 for ED or CD discretion; 50-74 retain supplier and point out weakness; and 75-100 retain supplier. For New External Providers: 0-9 no business; 10-19 for ED or CD discretion; 20-29 can start business and ask to improve; and 30-50 can start business."
removed,"The Student Disciplinary Committee conducts formal investigation. The SDC includes the Dean of the student respondent, VPSD, SSC President, and the security guard, faculty, or personnel who filed the complaint. When the complainant is another student, the complainant's dean sits as the fifth member.",A staff member shall investigate and decide all cases.,missing_responsibility|missing_approval_step|missing_traceability|insufficient_detail,"The revision removes the defined Student Disciplinary Committee, representative membership, formal investigation, and documented committee decision process.",Needs Revision,1,"[0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
removed

[ORIGINAL TEXT]
The Student Disciplinary Committee conducts formal investigation. The SDC includes the Dean of the student respondent, VPSD, SSC President, and the security guard, faculty, or personnel who filed the complaint. When the complainant is another student, the complainant's dean sits as the fifth member.

[REVISED TEXT]
A staff member shall investigate and decide all cases."
added,"The Accountant generates a Schedule of Accounts Receivable with Aging using the eNGAS System, sorts accounts aged over one year, prepares Demand Letters for debtors with accounts aging over one year, and forwards copies to the University President for signature. The University President signs the Demand Letters. Records Management Staff sends the Demand Letters to debtors through a courier if necessary.","The Accountant generates a Schedule of Accounts Receivable with Aging using the eNGAS System, sorts accounts aged over one year, prepares Demand Letters for debtors with accounts aging over one year, and forwards copies to the University President for signature. The University President signs the Demand Letters. Records Management Staff sends the Demand Letters to debtors through a courier if necessary. The Records Management Staff shall record the date, delivery method, and proof of dispatch for each Demand Letter.",,The added requirement supports traceability of Demand Letter dispatch and is relevant to the existing collection-follow-up process.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
added

[ORIGINAL TEXT]
The Accountant generates a Schedule of Accounts Receivable with Aging using the eNGAS System, sorts accounts aged over one year, prepares Demand Letters for debtors with accounts aging over one year, and forwards copies to the University President for signature. The University President signs the Demand Letters. Records Management Staff sends the Demand Letters to debtors through a courier if necessary.

[REVISED TEXT]
The Accountant generates a Schedule of Accounts Receivable with Aging using the eNGAS System, sorts accounts aged over one year, prepares Demand Letters for debtors with accounts aging over one year, and forwards copies to the University President for signature. The University President signs the Demand Letters. Records Management Staff sends the Demand Letters to debtors through a courier if necessary. The Records Management Staff shall record the date, delivery method, and proof of dispatch for each Demand Letter."
modified,"This procedure defines the actions and responsibilities of the Human Resource Management Office in recruitment, selection, placement and promotion of personnel. It covers receiving applications, conducting the selection process and interviews, records or background investigation, and deployment of the successful applicant.",This procedure applies to all matters involving University employees.,unclear_scope|insufficient_detail,"The revision is overly broad and no longer identifies the HRMO, recruitment, selection, placement, promotion, or the covered process activities.",Needs Revision,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
This procedure defines the actions and responsibilities of the Human Resource Management Office in recruitment, selection, placement and promotion of personnel. It covers receiving applications, conducting the selection process and interviews, records or background investigation, and deployment of the successful applicant.

[REVISED TEXT]
This procedure applies to all matters involving University employees."
reordered,"The Stall Holder shall not install, affix, or construct permanent fixtures in their respective spaces. When improvement or modification is necessary to maintain the brand or insignia of the product, the Stall Holder may secure the consent of the LNU-IGO Management. Installation and construction shall be shouldered by the Stall Holder. Upon termination or end of the contract, the Stall Holder shall restore the leased premises to its original state.","The Stall Holder shall restore the leased premises to its original state upon termination or end of the contract. The Stall Holder shall not install, affix, or construct permanent fixtures in their respective spaces. When improvement or modification is necessary to maintain the brand or insignia of the product, the Stall Holder shall first secure the consent of the LNU-IGO Management. Any approved installation or construction shall be shouldered by the Stall Holder.",,"The revision changes the presentation order but retains the prohibition, approval requirement, cost responsibility, and restoration obligation. The sequence remains understandable.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
reordered

[ORIGINAL TEXT]
The Stall Holder shall not install, affix, or construct permanent fixtures in their respective spaces. When improvement or modification is necessary to maintain the brand or insignia of the product, the Stall Holder may secure the consent of the LNU-IGO Management. Installation and construction shall be shouldered by the Stall Holder. Upon termination or end of the contract, the Stall Holder shall restore the leased premises to its original state.

[REVISED TEXT]
The Stall Holder shall restore the leased premises to its original state upon termination or end of the contract. The Stall Holder shall not install, affix, or construct permanent fixtures in their respective spaces. When improvement or modification is necessary to maintain the brand or insignia of the product, the Stall Holder shall first secure the consent of the LNU-IGO Management. Any approved installation or construction shall be shouldered by the Stall Holder."
modified,3.1 Records containing personal information shall be handled in accordance with the Data Privacy Act of 2012. 3.2 Requests for information shall be governed by the Freedom of Information policy.,"3.1 Student accounting records containing personal information shall be accessed, stored, disclosed, and retained only in accordance with applicable data-privacy requirements and authorized University procedures. 3.2 Requests for information shall be processed under the applicable Freedom of Information policy, subject to lawful restrictions on protected student information.",,The revision preserves the privacy and information-request controls while clarifying the activities covered and the protection of student information.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
3.1 Records containing personal information shall be handled in accordance with the Data Privacy Act of 2012. 3.2 Requests for information shall be governed by the Freedom of Information policy.

[REVISED TEXT]
3.1 Student accounting records containing personal information shall be accessed, stored, disclosed, and retained only in accordance with applicable data-privacy requirements and authorized University procedures. 3.2 Requests for information shall be processed under the applicable Freedom of Information policy, subject to lawful restrictions on protected student information."
modified,"For Regular External Providers, evaluation summaries are: 75-100 retain supplier; 50-74 retain supplier and point out weakness; 15-49 discretion of ED or CD; and 0-14 suspend business. For New External Providers, evaluation summaries are: 30-50 can start business; 20-29 can start business and ask to improve; 10-19 discretion of ED or CD; and 0-9 no business.","All providers with a score of 50 or above shall be retained or allowed to start business, while all others shall be suspended.",possible_contradiction|insufficient_detail|missing_responsibility,"The revision removes the different score ranges and decisions for Regular and New Providers, eliminates ED or CD discretion, and incorrectly treats all lower scores as suspension cases.",Needs Revision,1,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
For Regular External Providers, evaluation summaries are: 75-100 retain supplier; 50-74 retain supplier and point out weakness; 15-49 discretion of ED or CD; and 0-14 suspend business. For New External Providers, evaluation summaries are: 30-50 can start business; 20-29 can start business and ask to improve; 10-19 discretion of ED or CD; and 0-9 no business.

[REVISED TEXT]
All providers with a score of 50 or above shall be retained or allowed to start business, while all others shall be suspended."
modified,"The Accountant refers to FAM 8.02 Disbursements, periodically sorts disbursements by Income Generating Project unit with its income to determine each project's financial performance, prepares and signs an Income Statement per project, and provides a copy to the IGO Director. The IGO Director communicates the Income Statement to each project manager or worker.",Financial information will be shared with project workers when needed.,ambiguous_language|missing_responsibility|missing_record_or_evidence|insufficient_detail,"The revision does not identify the Accountant, applicable disbursement procedure, project-level classification of income and disbursements, Income Statement preparation and signature, IGO Director, or communication sequence.",Needs Revision,1,"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The Accountant refers to FAM 8.02 Disbursements, periodically sorts disbursements by Income Generating Project unit with its income to determine each project's financial performance, prepares and signs an Income Statement per project, and provides a copy to the IGO Director. The IGO Director communicates the Income Statement to each project manager or worker.

[REVISED TEXT]
Financial information will be shared with project workers when needed."
modified,1.1 To provide guidelines and procedures in the observance of the laws of the land and the rules and regulations of the University. 1.2 To ensure student discipline. 1.3 To protect the University community.,"1.1 To provide clear and documented procedures for observance of applicable laws and University rules and regulations. 1.2 To support fair, consistent, and accountable student-discipline processes. 1.3 To protect the safety and welfare of the University community.",,"The revision preserves the objectives while clarifying that the procedures should be documented, fair, consistent, and accountable.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
1.1 To provide guidelines and procedures in the observance of the laws of the land and the rules and regulations of the University. 1.2 To ensure student discipline. 1.3 To protect the University community.

[REVISED TEXT]
1.1 To provide clear and documented procedures for observance of applicable laws and University rules and regulations. 1.2 To support fair, consistent, and accountable student-discipline processes. 1.3 To protect the safety and welfare of the University community."
